
		Noxim - the NoC Simulator
		(C) University of Catania

Loading configuration from file ../config_examples/default_config.yaml
Global Routing Table created 
GlobalTrafficTable created
NoC constructor called
NoC::buildMesh invoked
Channel  created
Hub: 1
Hub: 2
Hub: 3
Hub: 4
Reset...

Info: (I702) default timescale unit used for tracing: 1 ps (trace_1.vcd)
 done! Now running for 10000 cycles...
1	8	1
1	8	0
1	8	4
5	12	5
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
1	8	1
5	12	4
5	12	4
1	8	0
5	12	4
5	12	4
1	8	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
3	10	3
5	12	4
5	12	4
3	10	2
5	12	8
3	10	6
5	12	5
5	12	5
5	12	4
5	12	4
5	12	8
8	1	8
8	1	9
8	1	5
14	7	14
3	10	3
14	7	15
3	10	2
14	7	11
3	10	6
14	7	14
3	10	3
14	7	15
3	10	2
14	7	11
3	10	6
7	14	7
7	14	6
7	14	6
7	14	6
7	14	6
3	10	3
7	14	6
7	14	6
3	10	2
7	14	6
7	14	6
3	10	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
8	1	8
7	14	6
7	14	6
8	1	9
7	14	6
8	1	5
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	10
7	14	7
7	14	7
10	3	10
10	3	11
14	7	14
10	3	7
14	7	15
7	14	6
14	7	11
7	14	6
14	7	11
14	7	11
7	14	10
14	7	11
14	7	11
14	7	11
5	12	5
14	7	11
14	7	11
5	12	4
14	7	11
14	7	11
5	12	8
14	7	11
14	7	11
14	7	14
12	5	12
14	7	15
12	5	13
14	7	15
12	5	9
1	8	1
1	8	0
14	7	11
1	8	4
14	7	11
5	12	5
1	8	1
5	12	4
5	12	4
1	8	0
5	12	4
5	12	4
1	8	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
5	12	4
8	1	8
5	12	4
5	12	4
8	1	9
5	12	4
5	12	4
8	1	5
5	12	4
5	12	4
5	12	8
10	3	10
5	12	5
10	3	11
5	12	4
10	3	7
5	12	8
10	3	10
10	3	11
10	3	7
7	14	7
7	14	6
7	14	10
14	7	14
1	8	1
14	7	15
1	8	0
14	7	11
1	8	4
7	14	7
7	14	6
7	14	10
5	12	5
5	12	4
8	1	8
5	12	8
8	1	9
8	1	5
3	10	3
3	10	2
3	10	6
12	5	12
5	12	5
8	1	8
12	5	13
5	12	4
1	8	1
12	5	9
8	1	9
5	12	8
8	1	9
1	8	0
8	1	9
8	1	9
1	8	4
8	1	9
1	8	4
8	1	9
1	8	4
8	1	9
1	8	4
8	1	9
1	8	4
8	1	9
1	8	4
8	1	9
1	8	4
8	1	9
1	8	4
8	1	9
1	8	4
8	1	9
1	8	4
8	1	9
1	8	4
8	1	9
1	8	4
8	1	9
8	1	9
10	3	10
8	1	5
10	3	11
10	3	7
1	8	1
1	8	0
1	8	4
7	14	7
7	14	6
7	14	10
1	8	1
1	8	0
1	8	4
14	7	14
8	1	8
14	7	15
8	1	9
14	7	11
8	1	5
3	10	3
12	5	12
7	14	7
3	10	2
12	5	13
7	14	6
3	10	6
12	5	9
3	10	6
12	5	9
7	14	10
3	10	6
12	5	9
3	10	6
12	5	9
3	10	6
12	5	9
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
1	8	1
1	8	0
1	8	4
3	10	3
3	10	2
3	10	6
3	10	3
3	10	2
3	10	6
10	3	10
10	3	11
10	3	7
3	10	3
3	10	2
1	8	1
3	10	6
1	8	0
1	8	4
10	3	10
10	3	11
10	3	7
12	5	12
12	5	13
12	5	9
3	10	3
3	10	2
3	10	6
7	14	7
14	7	14
1	8	1
7	14	6
14	7	15
1	8	0
7	14	10
14	7	11
5	12	5
1	8	4
5	12	4
5	12	4
5	12	4
8	1	8
5	12	4
5	12	4
8	1	9
3	10	3
5	12	4
5	12	4
8	1	5
3	10	2
5	12	4
5	12	4
5	12	4
3	10	6
5	12	4
3	10	6
5	12	4
3	10	6
5	12	4
5	12	4
5	12	4
5	12	4
5	12	8
3	10	3
3	10	2
12	5	12
3	10	6
12	5	13
12	5	9
5	12	5
5	12	4
5	12	8
7	14	7
7	14	6
7	14	10
8	1	8
8	1	9
8	1	5
14	7	14
14	7	15
14	7	11
14	7	14
14	7	15
14	7	11
14	7	14
14	7	15
14	7	11
3	10	3
10	3	10
3	10	2
10	3	11
10	3	11
3	10	6
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	7
14	7	14
14	7	15
10	3	10
14	7	11
14	7	11
14	7	11
14	7	11
14	7	11
14	7	11
14	7	11
14	7	11
10	3	11
14	7	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	7
10	3	10
10	3	10
10	3	11
1	8	1
10	3	11
1	8	0
10	3	7
3	10	3
1	8	4
3	10	2
3	10	6
1	8	1
1	8	0
1	8	4
14	7	14
14	7	15
14	7	11
3	10	3
3	10	2
3	10	6
10	3	10
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
10	3	11
1	8	1
10	3	11
10	3	11
1	8	0
10	3	7
1	8	4
10	3	10
10	3	11
10	3	11
10	3	7
3	10	3
3	10	2
3	10	6
7	14	7
7	14	6
8	1	8
7	14	6
7	14	6
8	1	9
7	14	6
8	1	5
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	6
7	14	10
12	5	12
12	5	13
12	5	9
7	14	7
7	14	6
7	14	10
3	10	3
3	10	2
3	10	6
3	10	6
14	7	14
3	10	6
3	10	6
14	7	15
3	10	6
3	10	6
14	7	11
3	10	3
3	10	2
3	10	6
3	10	6
8	1	8
8	1	9
8	1	5
10	3	10
10	3	11
10	3	7
7	14	7
7	14	6
7	14	10
10	3	10
10	3	11
10	3	7
10	3	10
7	14	7
10	3	11
7	14	6
10	3	7
7	14	10
7	14	7
7	14	6
7	14	10
1	8	1
1	8	0
1	8	4
7	14	7
7	14	6
7	14	10
1	8	1
1	8	0
1	8	4
7	14	7
7	14	6
7	14	10
3	10	3
3	10	2
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
3	10	6
12	5	12
14	7	14
12	5	13
14	7	15
12	5	9
14	7	11
8	1	8
8	1	9
8	1	9
8	1	9
8	1	9
8	1	5
14	7	14
14	7	15
14	7	11
5	12	5
5	12	4
5	12	8
5	12	5
8	1	8
5	12	4
8	1	9
8	1	5
5	12	8
14	7	14
14	7	15
14	7	11
5	12	5
8	1	8
5	12	4
8	1	9
8	1	5
5	12	8
5	12	5
5	12	4
5	12	8
12	5	12
12	5	13
12	5	9
5	12	5
5	12	4
5	12	8
14	7	14
14	7	15
14	7	11
7	14	7
7	14	6
8	1	8
7	14	10
